en,cn
English,中文
Input data,输入数据
Input file,输入文件
Help,使用说明
Parameter settings,参数设置
number of groups,样本组数
compare methods,检验方法
paired or not,是否配对
alternative,单边/双边检验
correction method,校正方法
(Correction method for comparison when there are differences between multiple groups),（多组存在差异时，两两比较的校正方法）
Sample data,参考数据
dot line size,点线大小
scatter,散点
error bars,误差条
boxplot lines,箱图线条
violin lines,小提琴图线条
star size,星号大小
Graphic labels,图形标签
title,标题
ylab,y轴标签
xlab,x轴标签
difference bar,显示横杠
Theme,主题
download plot,下载图形
plot.weight,下载图宽
plot.high,下载图高
plot.dpi,分辨率
Result data,结果数据
Two groups comparison,两两比较
